answerID,specificAnswerID,answerValues,answerImage,numAns,answerSubscripts
0,1b,"4/5,6",w22_11_m1b.png,2,x
1,2b,5,w22_11_m2b.png,1,None
2,2c,4π,w22_11_m2c.png,1,None
3,4,"-1,3/2 + r5/2",w22_11_m4.png,2,x
4,5a,"10,5",w22_11_m5a.png,2,"a,d"
4,5b,99,w22_11_m5b.png,1,None
5,6,"5,-13/9",w22_11_m6.png,2,"a,b"
6,10,14,w22_11_m10.png,1,None
7,12b,"-90°,-67.5°,-22.5°,0°,22.5°,67.5°,90°",w22_11_m12b.png,7,None
8,1,"2,3,-4",w22_12_m1.png,3,"a,b,c"
9,3,"0.375,-2,1.5, -3.2",w22_12_m3.png,4,"k,a,b,c"
10,4,"-π/24,11π/24,23π/24",w22_12_m4.png,3,x
11,5a,"(56,-192)",w22_12_m5a.png,2,None
12,5c,"-5,20",w22_12_m5c.png,2,"p,q"
13,6,1144,w22_12_m6.png,1,None
14,7a,2.8,w22_12_m7a.png,1,None
14,7b,144,w22_12_m7b.png,1,None
14,7c,439 ~ 440,w22_12_m7c.png,1,None
15,8a,-1.5,w22_12_m8a.png,1,None
16,3,None,w22_11_m3.png,1,None
17,1a,None,w22_11_m2a.png,1,None
18,2a,None,w22_11.m2a.png,1,None
19,7a,None,w22_11_m7a.png,1,None
19,7b,None,w22_11_m7b.png,1,None
20,8,None,w22_11_m8.png,1,None
21,9,None,w22_11_m9.png,2,None
22,11a,None,w22_11_m11a.png,0,None
22,11b,None,w22_11_m11b.png,1,None
22,11c,None,w22_11_m11c.png,2,None
23,12a,None,w22_11_m12a.png,0,None
24,13,None,w22_12_m13.png,1,None
25,2a,None,w22_12_m2a.png,0,None
26,2b,None,w22_12_m2b.png,2,None
27,5b,None,w22_12_m5b.png,1,None
28,8a,-1.5,w22_12_m8a.png,1,None
28,8d,None,w22_12_m8d.png,0,None
28,8b,None,w22_12_m8b.png,0,None
28,8c,None,w22_12_m8c.png,0,None
29,9a,None,w22_12_m9a.png,0,None
29,9b,"27/2,-1/12",w22_12_m9b.png,2,"p,q"
30,10a,2,w22_12_m10a.png,1,p
30,10b,50,w22_12_m10b.png,1,n
30,10c,"10^-3,0.001",w22_12_m10c.png,1,x
31,11a,"2,1",w22_12_m11a.png,2,"a,b"
31,11b,None,w22_12_m11b.png,0,x
32,12,"2,3,544/5",w22_12_m12.png,3,"a,b,c"
